,,Phil Weiser,John Kellner,William F. Robinson III,Stanley Thorne,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,Libertarian,Unaffiliated,,
State,Colorado,1349133,1060866,54557,1772,2466328,2466328
County,Adams,91442,68357,4214,61,164074,164074
Precinct,4215601243,171,477,20,0,668,668
Precinct,4215601244,192,674,14,0,880,880
Precinct,4215601245,46,211,2,0,259,259
Precinct,4215601246,337,583,31,5,956,956
Precinct,4215601247,134,575,15,3,727,727
Precinct,4215601248,119,562,13,0,694,694
Precinct,4215601249,38,226,4,2,270,270
Precinct,4215601251,221,689,25,1,936,936
Precinct,4283601267,0,0,0,0,0,0
Precinct,4285601241,4,15,1,0,20,20
Precinct,4285601266,37,116,6,0,159,159
Precinct,6215601269,5,16,0,0,21,21
Precinct,6283601229,359,102,19,0,480,480
Precinct,6283601230,628,163,23,0,814,814
Precinct,6283601231,717,177,33,0,927,927
Precinct,6283601232,368,71,22,0,461,461
Precinct,6283601233,459,196,14,0,669,669
Precinct,6283601234,321,175,9,0,505,505
Precinct,6283601235,188,84,10,0,282,282
Precinct,6283601236,372,199,17,0,588,588
Precinct,6283601237,251,131,7,0,389,389
Precinct,6283601238,379,227,24,0,630,630
Precinct,6283601239,328,218,13,0,559,559
Precinct,6283601240,1036,360,28,2,1426,1426
Precinct,6283601242,53,106,7,0,166,166
Precinct,6283601253,198,45,6,0,249,249
Precinct,6283601258,348,99,10,0,457,457
Precinct,6283601260,374,105,17,0,496,496
Precinct,7192401008,429,193,21,0,643,643
Precinct,7192401009,397,205,13,0,615,615
Precinct,8134801162,265,512,16,0,793,793
Precinct,8134801163,150,346,8,0,504,504
Precinct,8134801170,404,290,32,0,726,726
Precinct,8134801171,412,392,25,0,829,829
Precinct,8134801172,68,88,8,0,164,164
Precinct,8134801173,29,42,0,0,71,71
Precinct,8134801174,121,217,12,0,350,350
Precinct,8134801175,375,481,23,0,879,879
Precinct,8134801176,176,226,11,0,413,413
Precinct,8134801177,127,243,11,0,381,381
Precinct,8134801178,128,141,4,0,273,273
Precinct,8134801179,93,113,7,0,213,213
Precinct,8134801180,261,375,17,0,653,653
Precinct,8134801181,381,394,24,0,799,799
Precinct,8134801182,224,270,14,2,510,510
Precinct,8134801183,88,156,8,0,252,252
Precinct,8134801184,98,124,7,0,229,229
Precinct,8134801185,174,255,7,0,436,436
Precinct,8134801186,316,439,27,4,786,786
Precinct,8134801187,276,323,13,0,612,612
Precinct,8134801188,237,327,13,0,577,577
Precinct,8134801189,240,336,13,1,590,590
Precinct,8134801190,347,386,26,0,759,759
Precinct,8134801191,451,385,26,0,862,862
Precinct,8134801192,257,200,11,0,468,468
Precinct,8134801193,293,307,17,0,617,617
Precinct,8134801194,101,151,11,0,263,263
Precinct,8134801195,165,180,5,0,350,350
Precinct,8134801196,119,131,6,0,256,256
Precinct,8134801197,81,79,3,0,163,163
Precinct,8134801198,288,463,19,0,770,770
Precinct,8134801227,91,193,4,0,288,288
Precinct,8213201003,0,0,0,0,0,0
Precinct,8213201117,552,277,32,0,861,861
Precinct,8213201118,322,186,17,0,525,525
Precinct,8213201119,436,202,29,1,668,668
Precinct,8213201120,488,204,12,0,704,704
Precinct,8213201121,372,221,16,0,609,609
Precinct,8213201122,234,124,12,0,370,370
Precinct,8213201123,371,191,23,1,586,586
Precinct,8213201124,410,159,12,1,582,582
Precinct,8213201125,271,157,10,0,438,438
Precinct,8213201126,434,245,27,0,706,706
Precinct,8213201127,308,166,19,0,493,493
Precinct,8213201128,351,166,17,0,534,534
Precinct,8213201129,374,213,19,0,606,606
Precinct,8213201140,232,132,8,0,372,372
Precinct,8213201141,444,294,32,0,770,770
Precinct,8213201199,197,270,9,0,476,476
Precinct,8213201200,20,58,4,0,82,82
Precinct,8213201201,227,206,16,2,451,451
Precinct,8213201202,181,206,11,0,398,398
Precinct,8213201203,289,305,14,0,608,608
Precinct,8213201204,206,176,12,0,394,394
Precinct,8213201205,393,403,27,0,823,823
Precinct,8213201206,383,448,20,0,851,851
Precinct,8213201207,243,204,14,0,461,461
Precinct,8213201208,152,117,10,1,280,280
Precinct,8213201209,347,241,15,0,603,603
Precinct,8213201210,426,368,18,0,812,812
Precinct,8213201211,112,116,12,0,240,240
Precinct,8213201212,351,323,20,0,694,694
Precinct,8213201213,387,244,21,0,652,652
Precinct,8213201214,381,298,14,2,695,695
Precinct,8213201215,351,400,13,1,765,765
Precinct,8213201216,492,397,25,0,914,914
Precinct,8213201217,306,221,12,1,540,540
Precinct,8213201218,306,299,12,0,617,617
Precinct,8213201219,311,186,12,0,509,509
Precinct,8213201220,162,117,11,0,290,290
Precinct,8213201221,195,131,10,0,336,336
Precinct,8213201222,220,145,12,0,377,377
Precinct,8213201223,44,22,0,0,66,66
Precinct,8213201224,21,19,1,0,41,41
Precinct,8213201225,32,57,0,0,89,89
Precinct,8213201254,235,129,13,1,378,378
Precinct,8213201255,172,91,13,0,276,276
Precinct,8213201261,191,174,14,0,379,379
Precinct,8213201276,152,68,6,0,226,226
Precinct,8213501001,535,141,23,5,704,704
Precinct,8213501002,284,115,13,0,412,412
Precinct,8213501004,325,160,12,0,497,497
Precinct,8213501005,586,222,36,0,844,844
Precinct,8213501006,395,140,26,0,561,561
Precinct,8213501007,488,287,14,0,789,789
Precinct,8213501010,511,246,32,0,789,789
Precinct,8213501011,241,95,11,0,347,347
Precinct,8213501012,443,242,16,0,701,701
Precinct,8213501013,663,318,28,1,1010,1010
Precinct,8213501014,415,231,12,0,658,658
Precinct,8213501017,290,161,11,0,462,462
Precinct,8213501018,287,178,16,0,481,481
Precinct,8213501019,279,137,14,0,430,430
Precinct,8213501020,429,170,18,0,617,617
Precinct,8213501021,490,220,31,0,741,741
Precinct,8213501022,469,256,28,0,753,753
Precinct,8213501023,357,168,10,0,535,535
Precinct,8213501024,498,221,22,0,741,741
Precinct,8213501025,467,221,16,0,704,704
Precinct,8213501026,187,76,11,0,274,274
Precinct,8213501257,660,184,24,0,868,868
Precinct,8213501262,369,163,23,0,555,555
Precinct,8213501270,479,164,13,0,656,656
Precinct,8213501271,435,143,20,0,598,598
Precinct,8213501275,505,204,22,0,731,731
Precinct,8214801226,51,155,6,0,212,212
Precinct,8215601228,198,348,12,0,558,558
Precinct,8215601268,16,43,2,0,61,61
Precinct,8243101028,358,161,20,1,540,540
Precinct,8243101029,420,185,23,0,628,628
Precinct,8243101037,242,112,13,0,367,367
Precinct,8243101038,464,307,26,0,797,797
Precinct,8243101041,396,187,20,0,603,603
Precinct,8243101097,243,185,11,2,441,441
Precinct,8243101103,195,78,16,0,289,289
Precinct,8243101105,52,22,5,0,79,79
Precinct,8243101106,528,311,16,0,855,855
Precinct,8243101107,536,298,24,0,858,858
Precinct,8243101108,487,310,26,0,823,823
Precinct,8243101109,482,278,22,0,782,782
Precinct,8243101110,333,186,19,0,538,538
Precinct,8243101111,386,260,26,1,673,673
Precinct,8243101112,381,147,18,0,546,546
Precinct,8243101113,415,234,26,0,675,675
Precinct,8243101114,377,180,8,0,565,565
Precinct,8243101115,377,198,18,0,593,593
Precinct,8243101116,203,141,7,0,351,351
Precinct,8243101131,214,132,14,0,360,360
Precinct,8243101132,372,202,17,0,591,591
Precinct,8243101133,469,351,18,1,839,839
Precinct,8243101134,450,341,27,0,818,818
Precinct,8243101135,514,424,28,0,966,966
Precinct,8243101136,371,312,19,0,702,702
Precinct,8243101137,555,459,23,0,1037,1037
